oute,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Elephant Tree","The Amphitheatre > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106680615/elephant-tree,3.5,-1,Boulder,V6,1,,33.35623,-112.01248
"The Hole Show","Upper West > Middle Elden > Mt. Elden Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/114943421/the-hole-show,4.0,-1,Boulder,V9,1,15,35.2312,-111.6033
"Titty City","Tainted Gardens > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/113697019/titty-city,4.0,-1,Boulder,V8,1,,35.06765,-111.71969
"The Rail","Road Area > Oak Flats > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106959982/the-rail,3.4,-1,Boulder,V6,1,10,33.3019,-111.0532
"The Cougar","Tasty Pancho > First Gully Boulders > San Francisco Peak's > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/113836476/the-cougar,4.0,-1,Boulder,V10,1,30,35.30312,-111.70367
Lolita,"Mars Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107479375/lolita,4.0,-1,Boulder,V10-11,1,,35.0819,-111.601
Crossbones,"Crossbones Boulder > Rappel Rock > Summit Bouldering > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/114981481/crossbones,4.0,-1,Boulder,V7-8,1,18,32.43476,-110.79494
"Cats Craw","The Hair Pin > Blue Ridge Reservoir > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107460975/cats-craw,4.0,-1,Boulder,V2,1,30,34.5549,-111.1952
Earth,"Blue Marble Wall > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107841536/earth,4.0,-1,Boulder,"V6 R",1,25,35.0655,-111.6959
"Calmer Than You Are","The Knife > Wonderland > Wilderness of Rocks > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/115189465/calmer-than-you-are,4.0,-1,"Boulder, Alpine","V4 PG13",1,16,32.41903,-110.79161
"The Handcrack","The BreezeBlocks > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/111491785/the-handcrack,4.0,-1,Boulder,V0,1,15,34.87618,-111.72299
Kookachoo,"The BreezeBlocks > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/111491863/kookachoo,4.0,-1,Boulder,V4,1,15,34.87618,-111.72299
"Ralph Macchio","West Elden > Mt. Elden Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106792267/ralph-macchio,4.0,-1,Boulder,V5+,1,12,35.25598,-111.62377
